country,year,inflation,public_mgmt_quality,manufacturing,gdp_per_capita,life_exp_hdi
KEN,1996,8.86408741577522,,11.8594821496574,1875.29830948115,55.575
KEN,1997,11.3618450505783,,11.5682845804238,1865.02667279175,55.478
KEN,1998,6.72243650753928,,10.9299604775788,1895.01738202937,55.568
KEN,1999,5.74200109520484,,10.144580113851,1910.24013027617,55.866
KEN,2000,9.98002515350979,,10.3155807456118,1906.89794095999,56.084
KEN,2001,5.73859814341467,,9.77993983656482,1961.05816869463,56.501
KEN,2002,1.96130821739162,,9.82360946248357,1940.4030326056,56.759
KEN,2003,9.81569062979654,,9.70902523630876,1974.8582021244,57.369
KEN,2004,11.6240355442426,,10.0007925739742,2066.31540638632,57.947
KEN,2005,10.3127783574683,3.0,10.5360857511169,2188.6956101775,58.51
KEN,2006,14.4537342081708,3.5,12.6893553901337,2330.13028941165,59.059
KEN,2007,9.75888023027529,3.0,12.7904398588978,2481.08706146996,59.407
KEN,2008,26.2398166445063,3.0,12.0957706183263,2459.12174524213,59.955
KEN,2009,9.23412592394652,3.5,11.4929531371255,2480.0442906801,60.483
KEN,2010,3.96138889115385,4.0,11.160375024669,2634.89271323826,60.915
KEN,2011,14.0224913014704,4.0,12.0477672867887,2750.28663787693,61.283
KEN,2012,9.37777003547598,4.0,11.0833402731294,2847.27068286846,61.537
KEN,2013,5.71749357037733,4.0,10.9090166252394,3106.39394464885,61.729
KEN,2014,6.87815499275949,4.0,10.0650334327975,3359.48950665093,61.99
KEN,2015,6.58215429284779,4.0,9.97517981812866,3678.32614146019,62.279
KEN,2016,6.29724953814625,4.0,9.32149110147083,3916.65315673095,62.526
KEN,2017,8.00564967709945,4.0,8.7391417305051,4177.24993580267,62.725
KEN,2018,4.6898064677633,4.0,8.40838529183248,4411.56104120886,62.825
KEN,2019,5.23963795764792,4.0,7.90461593672111,4687.37782325306,62.939
KEN,2020,5.40516207933392,4.0,7.59983835849882,4792.57315847182,61.596
KEN,2021,6.10793603659176,4.0,7.36330136314107,5338.85243382781,61.225
KEN,2022,7.65986268272224,4.0,7.74068726212304,5883.22303961921,63.549
KEN,2023,7.67139634029402,4.0,7.48743648398488,6317.03904665091,63.646
KEN,2024,4.48978854243448,4.0,7.2507294225429,6644.13093243895,63.834
NGA,1996,29.2682926829271,,19.1010802100397,2930.71333145872,45.833
NGA,1997,8.52987421383634,,19.1985314411312,2989.96114463265,45.96
NGA,1998,9.99637812386806,,17.4505658778831,3021.60341151961,46.148
NGA,1999,6.61837339479751,,16.2573691313088,3002.07703732431,46.609
NGA,2000,6.93329215565161,,13.93340041394,3138.99138910401,47.143
NGA,2001,18.8736462093863,,13.9253596044022,3308.50611479543,47.549
NGA,2002,12.8765792031099,,11.8118130815755,3770.1793488182,48.02
NGA,2003,14.0317836131437,,12.0606068369615,4014.86695354936,48.618
NGA,2004,14.9980338183251,,10.8615699226756,4381.13682825117,49.148
NGA,2005,17.8634933661605,3.5,10.0610833215667,4678.09163245173,49.538
NGA,2006,8.22522152017047,3.5,8.85287260810424,4975.26979314967,49.876
NGA,2007,5.38800796858626,3.5,8.40137965701994,5297.97029503285,50.381
NGA,2008,11.5810751748252,3.5,8.16891297221069,5607.00840150758,50.748
NGA,2009,12.5378277304689,3.5,7.83841193667148,5927.46111768635,51.08
NGA,2010,13.7400521363694,3.5,6.55281697605782,6301.18372544791,51.315
NGA,2011,10.8261371880017,3.5,7.17108429622259,6585.36193271035,51.49
NGA,2012,12.2242413020584,3.5,7.72454667174331,6670.83826243627,51.688
NGA,2013,8.49551838265669,3.5,8.92892932163337,7004.13119554477,51.827
NGA,2014,8.04741087967907,3.5,9.63581160269249,7396.12835532947,51.94
NGA,2015,9.00943498007706,3.5,9.42843732193195,7307.83788188925,51.939
NGA,2016,15.6968126387972,3.5,8.67969778226601,7072.49693372311,52.189
NGA,2017,16.5022662139641,3.5,8.74199349233524,7036.67414372387,52.397
NGA,2018,12.0951065173432,3.5,9.64894748123428,7158.17107571781,52.669
NGA,2019,11.3964223378116,3.5,9.10054556609649,7551.39380367192,53.009
NGA,2020,13.2460234276597,3.5,8.08452488332917,7414.7749554048,53.072
NGA,2021,16.9528457221608,3.5,8.81727551840491,7588.47885596359,53.455
NGA,2022,18.8471877843274,3.5,9.13653170093414,8304.9581050353,54.079
NGA,2023,24.659550203114,3.5,9.27310124864668,8705.43426693539,54.462
NGA,2024,33.2420966545406,3.0,8.65727818020008,9086.87550609627,54.635
RWA,1996,7.41137173526642,,11.5448644324398,498.881978283008,42.486
RWA,1997,12.0154225195686,,12.0365394000344,499.807342995321,41.978
RWA,1998,6.2100670945581,,11.2345081091839,527.974251936254,43.099
RWA,1999,-2.40593209742259,,10.2481253166655,554.205772733852,45.749
RWA,2000,3.89952980284712,,9.63672597137736,609.265855545553,47.798
RWA,2001,3.34285506749409,,9.07112442912915,669.875436350145,49.49
RWA,2002,1.99258542453993,,9.76910210581291,759.662612911492,51.262
RWA,2003,7.44970014007366,,8.89860393782707,774.508237332335,53.529
RWA,2004,12.2507102894391,,8.85306276240368,832.279719304053,55.52
RWA,2005,9.01408918092339,4.0,8.71904488918662,914.227366408104,56.968
RWA,2006,8.88282654777923,4.5,8.99921862525478,1002.28949388428,58.342
RWA,2007,9.08072205873158,4.5,8.14021290823711,1078.93885246368,59.504
RWA,2008,15.4382138709255,4.5,7.94020842237574,1190.7575798332,60.641
RWA,2009,12.9443978401712,4.5,7.98328284968225,1240.54972631385,61.813
RWA,2010,-0.246128693436934,4.5,8.25840506845844,1314.13559494324,62.804
RWA,2011,3.0801706924026,4.5,8.3702907162069,1412.90752155318,63.476
RWA,2012,10.2710182318876,4.5,8.2846613345994,1454.52507891388,64.189
RWA,2013,5.92426867984854,4.5,6.82604607357561,1512.24171253848,64.651
RWA,2014,2.35449052820358,4.5,6.81723322004657,1677.56869684182,65.088
RWA,2015,2.52850284192421,4.5,6.83354613396964,1780.74171636863,65.419
RWA,2016,7.17434301982009,4.5,6.70526496539237,1866.38968530286,65.733
RWA,2017,8.27953672260832,4.5,7.67787089010896,1967.94286602499,66.14
RWA,2018,-0.311210160390699,4.5,7.6219933142698,2125.49522712839,66.354
RWA,2019,3.34787655037648,4.0,8.35941162223427,2336.03967302732,66.691
RWA,2020,9.85039902274207,4.0,8.73625657811809,2284.89889795328,66.953
RWA,2021,-0.391346748300791,4.0,9.29921653346709,2733.43566762447,66.85
RWA,2022,17.6892095588153,4.0,9.90161708409713,3098.67700634994,67.528
RWA,2023,19.789546746467,4.0,9.54106626710982,3399.45174603143,67.785
RWA,2024,1.77029240198635,4.0,8.94087746646115,3710.86040434596,68.017
ZAF,1996,7.35411972085333,,20.2672862924698,7208.00603160939,61.079
ZAF,1997,8.59777611252274,,19.9134866388256,7433.35785896959,60.538
ZAF,1998,6.88054521037351,,19.3278130726006,7463.44455141236,59.912
ZAF,1999,5.18148905111697,,18.5261294778975,7666.71616260078,59.19
ZAF,2000,5.33895913599828,,18.968266431053,8095.29428867929,58.368
ZAF,2001,5.70189483049608,,19.0369578655221,8428.31681707531,57.161
ZAF,2002,9.494713780996,,19.0721822951943,8792.35588574265,55.58
ZAF,2003,5.67942414068799,,18.502111880883,9138.82823855017,54.245
ZAF,2004,-0.692039437857687,,17.9898145212371,9713.65348468834,53.963
ZAF,2005,2.06285308223427,,17.3705797296878,10440.6275147132,53.914
ZAF,2006,3.2439076541923,,15.5955245517406,11250.179555872,54.22
ZAF,2007,6.17781214809388,,15.4419248277389,12046.6051072501,54.948
ZAF,2008,9.90998456005467,,15.6086910770333,12525.2630299811,55.982
ZAF,2009,7.23809523809527,,14.5078043632622,12261.4115911303,57.413
ZAF,2010,4.06749555950263,,13.8595736133129,12637.2912226018,58.886
ZAF,2011,5.0008533879502,,12.861770015896,13143.1933361097,60.602
ZAF,2012,5.73797139141739,,12.4825918463265,12986.7976675307,61.737
ZAF,2013,5.78016910069176,,12.3667757766351,13369.4382039605,62.388
ZAF,2014,6.13282953059149,,12.4807113856549,13358.9417186608,63.184
ZAF,2015,4.51869094892506,,12.5179444713924,13397.5234813346,64.053
ZAF,2016,6.60290842394872,,12.4836443520042,13519.3235102376,64.749
ZAF,2017,5.18618655524149,,12.5127045016941,13738.4385854596,65.422
ZAF,2018,4.50987264867388,,12.4570332833175,13347.3634826038,65.726
ZAF,2019,4.10285075461156,,12.4008912661528,13361.4851289112,66.071
ZAF,2020,3.23238831615113,,11.725046778088,12671.0862436851,65.15
ZAF,2021,4.61874544887136,,12.0775538850278,13681.9548144813,62.01
ZAF,2022,7.03987272546482,,12.4454055010392,14749.0478045301,65.454
ZAF,2023,6.0752438457966,,12.9800055529093,15199.7329823776,66.139
ZAF,2024,4.36115246518962,,12.7973009661441,15456.1989933658,66.312
